date,county,state,vehicle_primary_use,battery_electric_vehicles_bevs_,plug_in_hybrid_electric_vehicles_phevs_,electric_vehicle_ev_total,non_electric_vehicles,total_vehicles,percent_electric_vehicles
2020-03-31T00:00:00.000,Ramsey,MN,Passenger,1,0,1,42,43,2.325581395348837
2020-03-31T00:00:00.000,San Diego,CA,Passenger,13,6,19,2814,2833,0.6706671373102717
2020-03-31T00:00:00.000,Skamania,WA,Passenger,29,17,46,8720,8766,0.5247547342003194
2020-03-31T00:00:00.000,St. Clair,IL,Passenger,1,0,1,144,145,0.6896551724137931
2020-06-30T00:00:00.000,Calvert,MD,Passenger,0,2,2,89,91,2.1978021978021975
2020-06-30T00:00:00.000,Charleston,SC,Passenger,1,0,1,103,104,0.9615384615384616
2020-06-30T00:00:00.000,Clark,WA,Passenger,2014,1056,3070,317718,320788,0.9570183423320074
2020-06-30T00:00:00.000,DeKalb,GA,Passenger,1,0,1,78,79,1.2658227848101264
2020-06-30T00:00:00.000,District of Columbia,DC,Passenger,2,1,3,195,198,1.5151515151515151
2020-04-30T00:00:00.000,New Haven,CT,Passenger,0,2,2,41,43,4.651162790697674
2020-04-30T00:00:00.000,Norfolk,VA,Passenger,2,2,4,354,358,1.11731843575419
2020-04-30T00:00:00.000,Nueces,TX,Passenger,1,0,1,79,80,1.25
2020-04-30T00:00:00.000,Owyhee,ID,Passenger,1,0,1,3,4,25.0
2020-04-30T00:00:00.000,Palm Beach,FL,Passenger,0,1,1,74,75,1.3333333333333333
2020-04-30T00:00:00.000,Rockingham,NH,Passenger,1,0,1,28,29,3.4482758620689653
2020-04-30T00:00:00.000,Rogers,OK,Passenger,1,0,1,6,7,14.285714285714285
2020-04-30T00:00:00.000,Santa Cruz,CA,Passenger,1,0,1,38,39,2.564102564102564
2020-08-31T00:00:00.000,Contra Costa,CA,Passenger,4,2,6,320,326,1.840490797546012
2020-08-31T00:00:00.000,DeKalb,IN,Passenger,1,0,1,1,2,50.0
2020-08-31T00:00:00.000,Douglas,CO,Passenger,0,1,1,77,78,1.282051282051282
2020-08-31T00:00:00.000,Ferry,WA,Truck,0,0,0,3580,3580,0.0
2020-08-31T00:00:00.000,Franklin,WA,Passenger,66,77,143,60798,60941,0.2346531891501616
2020-08-31T00:00:00.000,Hennepin,MN,Passenger,3,0,3,86,89,3.3707865168539324
2020-05-31T00:00:00.000,King,WA,Passenger,24025,7684,31709,1375179,1406888,2.2538396802019776
2020-05-31T00:00:00.000,Kittitas,WA,Truck,0,0,0,14551,14551,0.0
2020-05-31T00:00:00.000,Middlesex,MA,Passenger,1,1,2,101,103,1.9417475728155336
2020-05-31T00:00:00.000,Monroe,IL,Passenger,1,0,1,4,5,20.0
2020-04-30T00:00:00.000,Solano,CA,Passenger,1,0,1,218,219,0.45662100456621
2020-04-30T00:00:00.000,Stafford,VA,Passenger,1,1,2,87,89,2.247191011235955
2020-04-30T00:00:00.000,Suffolk,VA,Passenger,1,0,1,121,122,0.8196721311475409
2020-04-30T00:00:00.000,Sumter,FL,Passenger,0,1,1,9,10,10.0
2020-04-30T00:00:00.000,Thurston,WA,Truck,0,0,0,55508,55508,0.0
2020-04-30T00:00:00.000,Travis,TX,Passenger,2,1,3,179,182,1.6483516483516485
2020-04-30T00:00:00.000,Ventura,CA,Passenger,0,3,3,295,298,1.0067114093959733
2020-04-30T00:00:00.000,Whitman,WA,Passenger,44,48,92,22315,22407,0.4105859775962868
2020-06-30T00:00:00.000,Mason,WA,Passenger,159,135,294,47286,47580,0.6179066834804539
2020-06-30T00:00:00.000,Multnomah,OR,Passenger,4,7,11,697,708,1.5536723163841808
2020-06-30T00:00:00.000,Nassau,NY,Passenger,4,0,4,29,33,12.12121212121212
2020-06-30T00:00:00.000,Newport,RI,Passenger,1,0,1,83,84,1.1904761904761905
2020-06-30T00:00:00.000,Okanogan,WA,Passenger,36,33,69,25848,25917,0.2662345178840143
2020-06-30T00:00:00.000,Osceola,FL,Passenger,1,0,1,36,37,2.7027027027027026
2020-06-30T00:00:00.000,Penobscot,ME,Passenger,0,1,1,13,14,7.142857142857143
2020-06-30T00:00:00.000,Pierce,WA,Passenger,2382,1693,4075,549788,553863,0.7357415100846239
